Date,Temperature,Weather,Holiday,Traffic_Volume
2024-01-01 00:00:00,21,Rain,No,1321
2024-01-01 01:00:00,35,Clear,No,1080
2024-01-01 02:00:00,25,Rain,No,1401
2024-01-01 03:00:00,17,Clear,No,1241
2024-01-01 04:00:00,20,Clear,No,910
2024-01-01 05:00:00,26,Cloudy,Yes,394
2024-01-01 06:00:00,31,Cloudy,No,1225
2024-01-01 07:00:00,30,Clear,No,2895
2024-01-01 08:00:00,33,Clear,No,2580
2024-01-01 09:00:00,19,Cloudy,No,2616
2024-01-01 10:00:00,32,Rain,No,3191
2024-01-01 11:00:00,40,Clear,No,1239
2024-01-01 12:00:00,29,Cloudy,No,1013
2024-01-01 13:00:00,29,Clear,No,799
2024-01-01 14:00:00,22,Rain,No,1303
2024-01-01 15:00:00,24,Cloudy,Yes,451
2024-01-01 16:00:00,40,Clear,No,1383
2024-01-01 17:00:00,28,Cloudy,No,3411
2024-01-01 18:00:00,37,Cloudy,No,3312
2024-01-01 19:00:00,30,Cloudy,No,3229
2024-01-01 20:00:00,40,Fog,No,3942
2024-01-01 21:00:00,23,Clear,No,1094
2024-01-01 22:00:00,21,Clear,No,885
2024-01-01 23:00:00,38,Clear,No,1291
2024-01-02 00:00:00,17,Rain,No,1739
2024-01-02 01:00:00,21,Cloudy,No,950
2024-01-02 02:00:00,22,Clear,No,1156
2024-01-02 03:00:00,38,Cloudy,No,1113
2024-01-02 04:00:00,17,Cloudy,No,1211
2024-01-02 05:00:00,17,Rain,No,1504
2024-01-02 06:00:00,28,Cloudy,No,764
2024-01-02 07:00:00,40,Clear,No,2662
2024-01-02 08:00:00,21,Cloudy,No,2837
2024-01-02 09:00:00,19,Clear,No,2620
2024-01-02 10:00:00,18,Rain,No,3192
2024-01-02 11:00:00,36,Rain,No,1461
2024-01-02 12:00:00,39,Clear,No,1007
2024-01-02 13:00:00,26,Clear,No,877
2024-01-02 14:00:00,40,Clear,No,1089
2024-01-02 15:00:00,15,Clear,No,870
2024-01-02 16:00:00,34,Clear,No,947
2024-01-02 17:00:00,22,Cloudy,No,3174
2024-01-02 18:00:00,33,Clear,No,3264
2024-01-02 19:00:00,36,Clear,No,3279
2024-01-02 20:00:00,31,Clear,No,3217
2024-01-02 21:00:00,21,Cloudy,No,862
2024-01-02 22:00:00,38,Clear,No,1029
2024-01-02 23:00:00,36,Clear,No,1284
2024-01-03 00:00:00,33,Cloudy,No,967
2024-01-03 01:00:00,20,Clear,No,952
2024-01-03 02:00:00,38,Clear,No,1179
2024-01-03 03:00:00,19,Cloudy,No,1144
2024-01-03 04:00:00,30,Rain,No,1436
2024-01-03 05:00:00,20,Cloudy,No,1001
2024-01-03 06:00:00,18,Clear,No,896
2024-01-03 07:00:00,34,Cloudy,No,2866
2024-01-03 08:00:00,22,Clear,No,2578
2024-01-03 09:00:00,25,Clear,No,2600
2024-01-03 10:00:00,24,Clear,No,2795
2024-01-03 11:00:00,30,Cloudy,No,751
2024-01-03 12:00:00,15,Clear,No,786
2024-01-03 13:00:00,37,Clear,No,1203
2024-01-03 14:00:00,30,Rain,No,1369
2024-01-03 15:00:00,15,Cloudy,No,1205
2024-01-03 16:00:00,18,Rain,No,1476
2024-01-03 17:00:00,30,Clear,No,3298
2024-01-03 18:00:00,32,Clear,No,3259
2024-01-03 19:00:00,17,Cloudy,No,3110
2024-01-03 20:00:00,18,Clear,No,3353
2024-01-03 21:00:00,38,Cloudy,No,1300
